stock_code,stock_name,stock_name_chi
353,ENERGY INTERNATIONAL INVESTMENTS HOLDINGS LIMITED,能源國際投資
354,CHINASOFT INTERNATIONAL LIMITED,中國軟件國際
355,CENTURY CITY INTERNATIONAL HOLDINGS LTD,世紀城市國際
356,DT CAPITAL LIMITED,鼎立資本
357,HAINAN MEILAN INTERNATIONAL AIRPORT COMPANY LIMITED,美蘭空港
358,JIANGXI COPPER COMPANY LIMITED,江西銅業股份
359,"CHINA HAISHENG JUICE HOLDINGS CO., LTD.",海升果汁
360,NEW FOCUS AUTO TECH HOLDINGS LIMITED,新焦點
361,SINO GOLF HOLDINGS LIMITED,順龍控股
362,XINYANG MAOJIAN GROUP LIMITED,信陽毛尖
363,SHANGHAI INDUSTRIAL HOLDINGS LIMITED,上海實業控股
364,BLOCKCHAIN GROUP COMPANY LIMITED,區塊鏈集團
365,SINO ICT HOLDINGS LIMITED,芯成科技
366,LUKS GROUP (VIETNAM HOLDINGS) COMPANY LIMITED,陸氏集團(越南)
367,CHUANG'S CONSORTIUM INTERNATIONAL LIMITED,莊士機構國際
368,SUPERLAND GROUP HOLDINGS LIMITED,德合集團
369,WING TAI PROPERTIES LIMITED,永泰地產
370,CHINA BEST GROUP HOLDING LIMITED,國華
371,BEIJING ENTERPRISES WATER GROUP LIMITED,北控水務集團
372,PT INTERNATIONAL DEVELOPMENT CORPORATION LIMITED,保德國際發展
373,ALLIED GROUP LIMITED,聯合集團
374,FOUR SEAS MERCANTILE HOLDINGS LIMITED,四洲集團
375,YGM TRADING LTD,YGM TRADING
376,YUNFENG FINANCIAL GROUP LIMITED,雲鋒金融
377,CHINA HUAJUN GROUP LIMITED,中國華君
378,FDG KINETIC LIMITED,五龍動力
379,"CHINA EVER GRAND FINANCIAL LEASING GROUP CO., LTD",恆嘉融資租賃
380,CHINA PIPE GROUP LIMITED,中國管業
381,KIU HUNG INTERNATIONAL HOLDINGS LIMITED,僑雄國際
382,EDVANTAGE GROUP HOLDINGS LIMITED,中匯集團
383,CHINA MEDICAL & HEALTHCARE GROUP LIMITED,中國醫療網絡
384,CHINA GAS HOLDINGS LIMITED,中國燃氣
385,CHINNEY ALLIANCE GROUP LIMITED,建聯集團
386,CHINA PETROLEUM & CHEMICAL CORPORATION,中國石油化工股份
387,LEEPORT (HOLDINGS) LIMITED,力豐(集團)
388,HONG KONG EXCHANGES AND CLEARING LIMITED,香港交易所
389,CHINA TONTINE WINES GROUP LIMITED,通天酒業
390,CHINA RAILWAY GROUP LIMITED,中國中鐵
391,MEI AH ENTERTAINMENT GROUP LIMITED,美亞娛樂資訊
392,BEIJING ENTERPRISES HOLDINGS LIMITED,北京控股
393,GLORIOUS SUN ENTERPRISES LIMITED,旭日企業
395,SMARTAC INTERNATIONAL HOLDINGS LIMITED,環球智能控股
396,HING LEE (HK) HOLDINGS LIMITED,興利(香港)控股
397,POWER FINANCIAL GROUP LIMITED,權威金融
398,ORIENTAL WATCH HOLDINGS LIMITED,東方表行集團
399,INNOVATIVE PHARMACEUTICAL BIOTECH LIMITED,領航醫藥生物科技
400,COGOBUY GROUP,科通芯城
401,WANJIA GROUP HOLDINGS LIMITED,萬嘉集團
403,STARLITE HOLDINGS LIMITED,星光集團
405,YUEXIU REAL ESTATE INVESTMENT TRUST,越秀房產信託基金
406,YAU LEE HOLDINGS LIMITED,有利集團
408,YIP'S CHEMICAL HOLDINGS LIMITED,葉氏化工集團
410,SOHO CHINA LIMITED,SOHO中國
411,LAM SOON (HONG KONG) LIMITED,南順(香港)
412,CHINA SHANDONG HI-SPEED FINANCIAL GROUP LIMITED,山高金融
413,SOUTH CHINA HOLDINGS COMPANY LIMITED,南華集團控股
416,"BANK OF JINZHOU CO., LTD.",錦州銀行
417,TSE SUI LUEN JEWELLERY (INTERNATIONAL) LIMITED,謝瑞麟
418,FOUNDER HOLDINGS LIMITED,方正控股
419,HUAYI TENCENT ENTERTAINMENT COMPANY LIMITED,華誼騰訊娛樂
420,FOUNTAIN SET (HOLDINGS) LTD,福田實業
422,VIETNAM MANUFACTURING AND EXPORT PROCESSING (HOLDINGS) LIMITED,越南製造加工出口
423,HONG KONG ECONOMIC TIMES HOLDINGS LIMITED,經濟日報集團
425,MINTH GROUP LIMITED,敏實集團
426,ONE MEDIA GROUP LIMITED,萬華媒體
428,COCOON HOLDINGS LIMITED,中國天弓控股
430,ORIENTAL EXPLORER HOLDINGS LIMITED,東方興業控股
431,GREATER CHINA FINANCIAL HOLDINGS LIMITED,大中華金融
432,PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED,盈大地產
433,NORTH MINING SHARES COMPANY LIMITED,北方礦業
434,BOYAA INTERACTIVE INTERNATIONAL LIMITED,博雅互動
435,SUNLIGHT REAL ESTATE INVESTMENT TRUST,陽光房地產基金
436,NEW UNIVERSE ENVIRONMENTAL GROUP LIMITED,新宇環保
438,IRICO GROUP NEW ENERGY COMPANY LIMITED,彩虹新能源
439,KUANGCHI SCIENCE LIMITED,光啟科學
440,DAH SING FINANCIAL HOLDINGS LTD,大新金融
442,"HIFOOD GROUP HOLDINGS CO., LIMITED",海福德集團
444,SINCERE WATCH (HONG KONG) LIMITED,SINCEREWATCH HK
449,CHIGO HOLDING LIMITED,志高控股
450,HUNG HING PRINTING GROUP LIMITED,鴻興印刷集團
451,GCL NEW ENERGY HOLDINGS LIMITED,協鑫新能源
455,TIANDA PHARMACEUTICALS LIMITED,天大藥業
456,NEW CITY DEVELOPMENT GROUP LIMITED,新城市建設發展
458,TRISTATE HOLDINGS LTD,聯亞集團
459,MIDLAND IC&I LIMITED,美聯工商舖
460,SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.,四環醫藥
462,NATURAL DAIRY (NZ) HOLDINGS LIMITED,天然乳品
464,CHINA OVERSEAS NUOXIN INTERNATIONAL HOLDINGS LIMITED,中國海外諾信
465,FUTONG TECHNOLOGY DEVELOPMENT HOLDINGS LIMITED,富通科技
467,UNITED ENERGY GROUP LIMITED,聯合能源集團
468,GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED,紛美包裝
471,CMMB VISION HOLDINGS LIMITED,中播控股
472,NEW SILKROAD CULTURALTAINMENT LIMITED,新絲路文旅
474,ACESO LIFE SCIENCE GROUP LIMITED,信銘生命科技
475,CENTRAL DEVELOPMENT HOLDINGS LIMITED,中發展控股
476,CHINA DYNAMICS (HOLDINGS) LIMITED,中國動力控股
479,CIL HOLDINGS LIMITED,華建控股
480,HKR INTERNATIONAL LTD,香港興業國際
482,SANDMARTIN INTERNATIONAL HOLDINGS LIMITED,聖馬丁國際
483,BAUHAUS INTERNATIONAL (HOLDINGS) LIMITED,包浩斯國際
