participant_id,participant_name,participant_name_chi
B01182,LUEN CHEUNG SHARES INVESTMENT CO,LUEN CHEUNG SHARES INVESTMENT CO
B01183,CHONG HING SECURITIES LTD,創興證券有限公司
B01184,CHINA TONGHAI SECURITIES LTD,中國通海證券有限公司
B01186,BOKHARY & CO,BOKHARY & CO
B01187,YARDLEY SECURITIES CO,YARDLEY SECURITIES CO
B01190,MANY FAIR SECURITIES CO,MANY FAIR SECURITIES CO
B01191,OKACHI INVESTMENTS (HONG KONG) CO LTD,岡地投資(香港)有限公司
B01192,SEEKERS MARKETS LTD,中南金融有限公司
B01193,UPBEST SECURITIES CO,UPBEST SECURITIES CO
B01194,GOOD HARVEST & CO,GOOD HARVEST & CO
B01196,Y. C. FUNG & CO,Y. C. FUNG & CO
B01197,H. K. HUNG & CO,H. K. HUNG & CO
B01198,PO KAY SECURITIES & SHARES CO LTD,步基證券有限公司
B01199,HANG TUNG SECURITIES LTD,HANG TUNG SECURITIES LTD
B01200,GREAT HONEST INVESTMENT CO LTD,浩誠證券有限公司
B01203,HOP LEE STOCK CO,HOP LEE STOCK CO
B01204,TISCO SECURITIES HONG KONG LTD,TISCO SECURITIES HONG KONG LTD
B01206,SELINA & CO,SELINA & CO
B01207,SHAREGAIN DEVELOPMENT LTD,順靈發展有限公司
B01209,MASON SECURITIES LTD,茂宸證券有限公司
B01210,KONGSON SECURITIES LTD,KONGSON SECURITIES LTD
B01212,HENYEP SECURITIES LTD,興業證券有限公司
B01213,MALAHON SECURITIES LTD,萬利豐證券有限公司
B01217,TAIPING SECURITIES (HK) CO LTD,太平証券(香港)有限公司
B01220,WING ON CHEONG SECURITIES CO LTD,WING ON CHEONG SECURITIES CO LTD
B01221,LEE SHUN SECURITIES CO,LEE SHUN SECURITIES CO
B01224,MERRILL LYNCH FAR EAST LTD,MLFE LTD
B01226,CHARK FUNG SECURITIES CO,CHARK FUNG SECURITIES CO
B01227,HOORAY SECURITIES LTD,好盈證券有限公司
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,中信証券經紀(香港)有限公司
B01230,PACIFIC FOUNDATION SECURITIES LTD,太平基業證券有限公司
B01231,HONG KONG INTERNATIONAL SECURITIES LTD,香港國際證券有限公司
B01232,CHIEF INVESTMENT CO,CHIEF INVESTMENT CO
B01233,FOOK TIN SECURITIES (1987) LTD,FOOK TIN SECURITIES (1987) LTD
B01235,LEE ON TAT INVESTMENT LTD,LEE ON TAT INVESTMENT LTD
B01236,LOLLIMAN SECURITIES LTD,LOLLIMAN SECURITIES LTD
B01238,TAI YIP STOCK CO LTD,大業證券有限公司
B01239,NAVA SC SECURITIES LTD,NAVA SC SECURITIES LTD
B01240,TSUN CHI YUEN SECURITIES CO LTD,秦志遠證券有限公司
B01241,TUNLIN SECURITIES CO,TUNLIN SECURITIES CO
B01243,TEN & TEN SECURITIES CO,TEN & TEN SECURITIES CO
B01245,AGINCOURT SECURITIES & CO,AGINCOURT SECURITIES & CO
B01246,ROCTEC SECURITIES CO LTD,鷹達證券有限公司
B01247,KWAI HUNG SECURITIES CO LTD,KWAI HUNG SECURITIES CO LTD
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,均益證券(國際)有限公司
B01250,BILLION SECURITIES CO,BILLION SECURITIES CO
B01251,CHUANGS & CO,CHUANGS & CO
B01252,CORPORATE BROKERS LTD,協聯證券有限公司
B01253,STOCKWELL SECURITIES LTD,常匯證券有限公司
B01254,LEE WAI & CO,LEE WAI & CO
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,國金證券(香港)有限公司
B01257,HO FUNG SHARES INVESTMENT CO,HO FUNG SHARES INVESTMENT CO
B01258,CHINA POINT STOCK BROKERS LTD,CHINA POINT STOCK BROKERS LTD
B01259,FAIR EAGLE SECURITIES CO LTD,天發證券有限公司
B01260,LAMTEX SECURITIES LTD,林達證券有限公司
B01262,RICOFULL SECURITIES CO,RICOFULL SECURITIES CO
B01264,KIM ENG SECURITIES (HONG KONG) LTD,金英證券(香港)有限公司
B01265,OCBC WING HANG SHARES BROKERAGE CO. LTD,華僑永亨証券有限公司
B01266,PREMIER Q SECURITIES LTD,乾立亨證券有限公司
B01267,WINFULL SECURITIES LTD,永富證券有限公司
B01270,LEE TAT & CO,LEE TAT & CO
B01271,HANG TAI SECURITIES LTD,恒泰証券有限公司
B01272,FB SECURITIES (HONG KONG) LTD,富銀證券(香港)有限公司
B01273,WHOLE WIN SECURITIES CO,WHOLE WIN SECURITIES CO
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
B01275,SANFULL SECURITIES LTD,新富證券有限公司
B01276,LEHMAN BROTHERS SECURITIES ASIA LTD,LEHMAN BROTHERS SECURITIES ASIA LTD
B01277,BRADBURY SECURITIES LTD,源盛證券有限公司
B01279,THE BEST SECURITIES CO,THE BEST SECURITIES CO
B01280,WING FAT SECURITIES LTD,永發證券有限公司
B01282,CHELSEA SECURITIES LTD,昭海金融證券有限公司
B01283,V SIX SECURITIES LTD,V SIX SECURITIES LTD
B01284,HANG SENG SECURITIES LTD,恒生證券有限公司
B01286,K L SECURITIES CO,K L SECURITIES CO
B01287,PEREGRINE BROKERAGE LTD,PEREGRINE BROKERAGE LTD
B01288,BOND'S SECURITIES LTD,BOND'S SECURITIES LTD
B01289,SOUTH CHINA SECURITIES LTD,南華證券投資有限公司
B01290,SPS SECURITIES LTD,新寶城證券有限公司
B01292,ALPHA SECURITIES CO LTD,亞華證券有限公司
B01294,CS WEALTH SECURITIES LTD,中策富匯證券有限公司
B01295,KARL THOMSON SECURITIES CO,KARL THOMSON SECURITIES CO
B01296,MONTGOMERY SECURITIES LTD,萬金來證券有限公司
B01297,ONSHINE SECURITIES LTD,朗盈證券有限公司
B01298,GET NICE SECURITIES LTD,結好證券有限公司
B01299,BNP PARIBAS SECURITIES (ASIA) LTD,BNP PARIBAS SECURITIES (ASIA) LTD
B01300,OCBC SECURITIES (HONG KONG) LTD,OCBC SECURITIES (HONG KONG) LTD
B01301,PARIBAS ASIA EQUITY LTD,PARIBAS ASIA EQUITY LTD
B01303,UPWORTH SECURITIES LTD,UPWORTH SECURITIES LTD
B01304,ANGLO CHINESE SECURITIES LTD,ANGLO CHINESE SECURITIES LTD
B01305,CHIA TAI SECURITIES LTD,CHIA TAI SECURITIES LTD
B01307,CHELAC INVESTMENT CO,CHELAC INVESTMENT CO
B01308,SOLOMON SECURITIES LTD,所羅門證券有限公司
B01309,WO FUNG SECURITIES CO,WO FUNG SECURITIES CO
B01310,TUNG TAK SECURITIES (H.K.) CO LTD,同德証券(香港)有限公司
B01317,C.A. PACIFIC SECURITIES LTD,C.A. PACIFIC SECURITIES LTD
B01318,OKASAN INTERNATIONAL (ASIA) LTD,岡三國際(亞洲)有限公司
B01320,LUEN FAT SECURITIES CO LTD,聯發證券有限公司
B01321,WINTAKLY SECURITIES CO,WINTAKLY SECURITIES CO
B01322,INFAST BROKERAGE LTD,進匯證券有限公司
B01323,DEUTSCHE SECURITIES ASIA LTD,德意志證券亞洲有限公司
B01324,FUNDERSTONE SECURITIES LTD,FUNDERSTONE SECURITIES LTD
B01325,MASTER SECURITIES & INVESTMENT CO,MASTER SECURITIES & INVESTMENT CO
